,COUNTYNAME,Started,Extinguished,Location,Latitude,Longitude,Name,AcresBurned,MajorIncident,pcp,tmax,tmin,YEAR,MONTH_NUM
754,Riverside,2017-12-04T12:26:00Z,2018-01-09T13:47:00Z," Riverdale Place and Lakeview Ave, Santa Ana Riverbed ",33.96514,-117.4764,Riverdale Fire,40.0,False,0.0,69.8,44.6,2017.0,12.0
755,Riverside,2017-11-14T16:11:00Z,2018-01-09T13:46:00Z,"Off Palm Dr & 20th Ave, Desert Hot Springs",33.90327,-116.50151,Palm Fire,40.0,False,0.02,76.8,52.3,2017.0,11.0
756,San Bernardino,2017-10-24T10:27:00Z,2018-01-09T13:45:00Z,"Interstate 15 and Interstate 210, Rancho Cucamonga",34.13534,-117.4982,Freeway Fire,40.0,False,0.0,83.7,56.4,2017.0,10.0
757,Shasta,2017-10-08T04:53:00Z,2018-01-09T13:31:00Z,"off of Argonaut Trail and Dry Creek Rd, Jones Valley",40.70627,-122.24199,Jones Fire,40.0,False,0.81,73.1,42.3,2017.0,10.0
758,Kern,2017-09-29T15:58:00Z,2018-01-09T13:29:00Z,"Todd Ct and Brick Dr, east of Lake Isabella",35.59302,-118.46734,Lakewood Fire,40.0,False,0.32,86.2,59.4,2017.0,9.0
759,Del Norte,2017-09-12T12:45:00Z,2018-01-09T13:20:00Z,"off Low Divide Rd, west of Rockland",41.98128,-124.01168,Hole Fire,40.0,False,1.42,72.0,52.6,2017.0,9.0
760,Humboldt,2017-08-28T08:01:00Z,2018-01-09T12:46:00Z,"Tish Tang Road and Hostler, Hoopa",41.02705,-123.63721,Translator Fire,40.0,False,0.36,84.9,56.6,2017.0,8.0
761,Tehama,2017-08-26T15:03:00Z,2018-01-09T12:45:00Z,"Hwy 36 and Vestal Road, west of Red Bluff",40.29831,-122.70449,Vestal Fire,40.0,False,0.05,95.1,65.0,2017.0,8.0
762,Lake,2017-07-17T14:44:00Z,2018-01-09T11:59:00Z,"Hwy 29 and Agua Dulce, 3 miles south of Lower lake",38.86056,-122.62382,Murphy Fire,40.0,False,0.0,92.3,61.1,2017.0,7.0
763,Monterey,2017-07-16T11:17:00Z,2018-01-09T11:56:00Z,"off Reservation Rd and Blanco Rd, east of the city of Marina",36.66684,-121.74826,Reservation Fire,40.0,False,0.03,89.3,55.1,2017.0,7.0
764,Tuolumne,2017-09-19T00:22:00Z,2018-03-26T10:49:00Z,"On Table Mountain, west of Table Mountain Road and Chicken Ranch Road, Jamestown",37.896778,-120.504134,Table Fire,39.0,False,1.26,73.3,47.9,2017.0,9.0
765,Yuba,2017-07-24T14:56:00Z,2018-01-09T12:05:00Z,"Spenceville Rd & Monarch Trail Dr, Wheatland",39.06522,-121.3519,Spenceville Fire,39.0,True,0.0,97.2,64.1,2017.0,7.0
766,Solano,2017-06-22T13:08:00Z,2018-01-09T11:01:00Z,"off of I-80 and Sonoma Blvd,  Vallejo",38.07481,-122.23004,Toll Fire,39.0,False,0.26,87.1,57.6,2017.0,6.0
767,Marin,2017-06-27T10:39:00Z,2018-01-09T11:09:00Z,"off San Geronimo Ridge Road and Pine Mountain Fire Road, south of Woodacre ",37.9775,-122.65749,Pine Fire,38.0,False,0.3,71.8,51.7,2017.0,6.0
768,Tuolumne,2017-06-11T18:49:00Z,2018-01-09T10:31:00Z,"Red Hills Road & Six Bit Gulch Road, 2 miles southwest of Chinese Camp",37.85137,-120.45268,Red Fire,38.0,False,0.42,76.9,49.6,2017.0,6.0
769,Shasta,2017-10-31T11:22:00Z,2018-01-09T13:46:00Z,"I-5 and Turntable Bay, 7 miles NE of Shasta Lake ",40.774,-122.309, Bridge Fire,37.0,False,0.81,73.1,42.3,2017.0,10.0
770,Mariposa,2017-07-07T15:50:00Z,2018-01-09T11:48:00Z,"Banderilla Dr & Hidalgo St, north of Hayward",37.65963,-120.34802,Banderilla Fire,36.0,False,0.0,92.3,60.4,2017.0,7.0
771,San Diego,2017-06-25T12:09:00Z,2018-01-09T11:07:00Z,"Off Black Canyon Rd & Mesa Grande Rd, Ramona",33.1683,-116.77342,Black Fire,36.0,False,0.01,88.3,59.1,2017.0,6.0
772,Riverside,2017-09-29T18:01:00Z,2018-01-09T13:28:00Z,Hy 74 and Melba Avenue,33.74925,-117.10301,Melba Fire,35.0,False,0.64,91.1,66.9,2017.0,9.0
773,Marin,2017-07-12T16:15:00Z,2018-01-09T11:54:00Z,"Point Reyes - Petaluma Road, Petaluma",38.08055,-122.77846,Spaletta Fire,35.0,False,0.0,75.2,51.4,2017.0,7.0
774,Riverside,2017-07-04T15:20:00Z,2018-01-09T11:43:00Z,Off Van Buren Bl & Jurupa Rd in Jurupa Valley,33.99316,-117.48405,Jurupa Fire,35.0,False,0.1,102.3,76.2,2017.0,7.0
775,Sacramento,2017-06-27T07:39:00Z,2018-01-09T11:09:00Z,"off Hwy 16 & Latrobe Rd, east of White Rock (Sacramento County)",38.45822,-120.92162,Latrobe Fire,35.0,False,0.19,91.4,59.8,2017.0,6.0
776,Kern,2017-06-09T04:53:00Z,2018-01-09T10:29:00Z,"Breckenridge Rd and Comanche Dr., 5 miles east of Bakersfield ",35.37351,-118.84134,Breckenridge Fire,35.0,False,0.01,92.4,63.0,2017.0,6.0
777,Riverside,2017-05-21T16:12:00Z,2018-01-09T10:07:00Z,Reche Canyon Road and Smiley Boulevard,33.96419,-117.20507,Smiley Fire,35.0,False,0.22,86.4,59.0,2017.0,5.0
778,San Bernardino,2017-12-05T13:28:00Z,2018-01-09T13:47:00Z,"near the Hwy 15 and Hwy 215 junction, near Glen Helen Regional Park ",34.21829,-117.40625,Meyers Fire,34.0,False,0.0,64.8,41.2,2017.0,12.0
779,Riverside,2017-09-10T13:49:00Z,2018-01-09T13:19:00Z,"Ellie Way and El Toro Road, Lake Elsinore",33.73547,-117.33364,Ellie Fire,34.0,False,0.64,91.1,66.9,2017.0,9.0
780,Humboldt,2017-08-31T13:57:00Z,2018-01-09T12:49:00Z,"Miller Ranch road x Bell Springs road, 10 miles NE Leggett ",40.03697,-123.64214,Miller Fire,34.0,False,0.36,84.9,56.6,2017.0,8.0
781,San Benito,2017-07-04T13:21:00Z,2018-01-09T11:42:00Z,"Off Santa Ana Valley Rd & Douglas Dr, Hollister",36.85596,-121.30983,Valley Fire,34.0,False,0.02,91.9,60.4,2017.0,7.0
782,Riverside,2017-07-07T12:56:00Z,2018-01-09T11:46:00Z,"off Christmas Tree Ln & Santa Rosa Mine Rd, in Good Meadow",33.763304,-117.314994,Christmas Fire,33.0,False,0.1,102.3,76.2,2017.0,7.0
783,Riverside,2017-06-13T12:00:00Z,2018-01-09T10:32:00Z,"San Ignacio Road and East Benton Road, Temecula",33.584036,-116.972036,Valley Fire,33.0,False,0.0,99.6,68.6,2017.0,6.0
784,Kern,2017-06-04T22:11:00Z,2018-01-09T10:24:00Z,"off Erskine Creek Rd and Pasadena Ln, southwest of Lake Isabella",35.60633,-118.4642,Creek Fire ,33.0,False,0.01,92.4,63.0,2017.0,6.0
785,Trinity,2017-08-02T11:13:00Z,2018-01-09T12:16:00Z,"North of Hwy 299, west of Del Loma",40.804,-123.375,Sandy Fire,32.0,False,0.25,92.3,57.3,2017.0,8.0
786,Trinity,2017-08-02T08:30:00Z,2018-01-09T12:17:00Z,"Sandy Bar, Hwy 299, 4 miles east of Burnt Ranch",40.79902,-123.39253,Sandy Fire,32.0,False,0.25,92.3,57.3,2017.0,8.0
787,Riverside,2017-07-13T10:28:00Z,2018-01-09T11:54:00Z,"Field Drive & Patterson Road, Community of Winchester",33.62613,-117.07975,Washington Fire,32.0,False,0.1,102.3,76.2,2017.0,7.0
788,Monterey,2017-06-16T15:49:00Z,2018-01-09T10:34:00Z,"Jolon Rd and Frudden Rd, near Lockwood",35.90092,-120.93371,Shore Fire,32.0,True,0.05,83.9,52.0,2017.0,6.0
789,Monterey,2017-06-11T18:12:00Z,2018-01-09T10:30:00Z,"New Pleyto Road cross of Stern st, Lockwood",35.902149,-120.983684,Pleyto Fire,32.0,False,0.05,83.9,52.0,2017.0,6.0
790,Monterey,2017-10-15T14:55:00Z,2018-01-09T13:40:00Z,"off York Road and S Boundary Road, east of Monterey ",36.5858,-121.80377,York Fire,31.0,False,0.15,80.2,46.2,2017.0,10.0
791,Fresno,2017-08-23T13:28:00Z,2018-01-09T12:44:00Z,"off of Highway 198 west of Parsons Road, Coalinga",36.099681,-120.443545,Juniper Fire,31.0,False,0.23,89.8,61.4,2017.0,8.0
792,Kern,2017-05-12T05:05:00Z,2018-01-09T09:55:00Z,"Red Hill Road and Schick Road, 2 miles east of Lake Isabella",35.60001,-118.4683,Hub Fire,31.0,False,0.18,80.9,53.1,2017.0,5.0
793,Los Angeles,2017-08-31T16:32:00Z,2018-03-22T16:34:00Z,"I-5, north of Hughes Rd., 2 miles north of Lake Hughes",34.52055,-118.62882,Castaic Fire,30.0,False,0.09,90.1,65.5,2017.0,8.0
794,Humboldt,2017-08-03T16:41:00Z,2018-01-09T12:18:00Z,"Off Alderpoint Rd and Cemetery Rd, Blocksburg",40.27582,-123.64281,Blocksburg Fire,30.0,False,0.36,84.9,56.6,2017.0,8.0
795,Riverside,2017-07-03T19:31:00Z,2018-01-09T11:42:00Z,"off Moreno Beach Dr & Locust, north of Moreno Valley",33.96896,-117.25411,Timber Fire,30.0,False,0.1,102.3,76.2,2017.0,7.0
796,El Dorado,2017-10-10T15:36:00Z,2018-01-09T13:35:00Z,"off Ice House Road and US-50, east of Riverton, 13 miles east of Camino",38.77921,-120.46234,Ice Fire,29.0,False,0.78,71.3,43.8,2017.0,10.0
797,Tehama,2017-07-08T18:58:00Z,2018-01-09T11:51:00Z,"Benson Rd, Bowman., 11 miles northwest of Red Bluff",40.29118,-122.42606,Benson Fire,29.0,False,0.0,95.6,64.3,2017.0,7.0
798,Butte,2017-09-25T11:03:00Z,2018-01-09T13:24:00Z,"Hwy 32 and Humboldt Road, 5 miles northeast of Chico ",39.8255,-121.7127,32 Fire,28.0,False,0.41,86.2,57.6,2017.0,9.0
799,Modoc,2017-08-30T11:38:00Z,2018-01-09T12:48:00Z,"4 miles east of Dorris Reservoir, east of Alturas",41.4844,-120.36659,4-4 Fire,28.0,False,0.49,86.9,52.8,2017.0,8.0
800,Del Norte,2017-06-26T21:30:00Z,2018-01-09T11:08:00Z,"in Tolowa Dunes State Park, 3 miles west of Smith River (Del Norte County)",41.93323,-124.19629,Shore Fire,28.0,False,1.64,72.2,49.3,2017.0,6.0
801,Riverside,2017-06-15T15:51:00Z,2018-01-09T10:33:00Z,Hansen Avenue and Nuevo Road in Nuevo,33.79925,-117.11659,Nuevo Fire,28.0,False,0.0,99.6,68.6,2017.0,6.0
802,Modoc,2017-08-30T14:50:00Z,2018-01-09T12:48:00Z,"off Highway 395 and County Road 118, 16 miles north of Alturas.",41.64469,-120.31814,4-10 Fire,27.0,True,0.49,86.9,52.8,2017.0,8.0
803,Riverside,2017-06-03T12:09:00Z,2018-01-09T10:24:00Z,Off Soboba Road in San Jacinto,33.82165,-116.96079,Vernon Fire,27.0,False,0.0,99.6,68.6,2017.0,6.0
804,Yuba,2017-09-26T15:20:00Z,2018-01-09T13:25:00Z,"Jasper lane and Levee road, 1 mile NE of Wheatland",39.03168,-121.40947,Jasper Fire,26.0,False,0.19,86.8,59.1,2017.0,9.0
805,Riverside,2017-06-18T16:03:00Z,2018-01-09T10:59:00Z,State Highway 74 near Trellis Lane,33.71025,-117.31924,Trellis Fire,26.0,False,0.0,99.6,68.6,2017.0,6.0
806,Riverside,2017-06-01T16:12:00Z,2018-01-09T10:23:00Z,"Fairview Road & Old Morongo Road, west of Desert Hot Springs ",33.94788,-116.59719,Fairview Fire,26.0,False,0.0,99.6,68.6,2017.0,6.0
807,San Diego,2017-10-15T14:05:00Z,2018-01-09T13:40:00Z,"at Wilson Road, east of San Felipe",33.18716,-116.50897,Wilson Fire,25.0,False,0.02,83.5,54.5,2017.0,10.0
808,San Luis Obispo,2017-09-23T15:40:00Z,2018-01-09T13:23:00Z,"Lynch Canyon Rd & Lakeview Rd, northwest of Lake Nacimiento",35.76343,-121.04445,Cove Fire,25.0,False,0.26,84.5,55.5,2017.0,9.0
809,San Diego,2017-09-07T15:41:00Z,2018-01-09T13:19:00Z,1 mile west of Tecate Port Of Entry in Potrero,32.59252,-116.61609,Border 9 Fire,25.0,False,0.19,84.4,59.0,2017.0,9.0
810,Shasta,2017-09-01T11:21:00Z,2018-01-09T12:49:00Z,"Oak Run Road and Hopper Lane, Oak Run",40.71923,-122.02525,Hopper Fire,25.0,False,0.44,83.2,53.6,2017.0,9.0
811,San Diego,2017-06-27T09:38:00Z,2018-01-09T11:09:00Z,"off Sloane Canyon Road at Dehesa Road, east of El Cajon",32.7789,-116.8516,Sloane Fire,25.0,False,0.01,88.3,59.1,2017.0,6.0
812,Madera,2017-06-18T14:04:00Z,2018-01-09T10:35:00Z,"Road 400 and Road 33, 7 miles east of Madera ",37.02081,-119.95136,Road Fire,25.0,False,0.14,85.3,55.4,2017.0,6.0
813,Los Angeles,2017-06-03T15:39:00Z,2018-01-09T10:24:00Z,"I-5, North of Lake Hughes Rd, Community of Cataic ",34.29931,-118.37539,5 Fire,25.0,False,0.03,86.8,60.7,2017.0,6.0
814,San Diego,2017-05-24T15:30:00Z,2018-01-09T10:10:00Z,"Off of Ribbonwood Road and Interstate 8, east of El Cajon",32.679,-116.29296,Ribbonwood Fire,25.0,False,1.15,77.1,51.5,2017.0,5.0
815,Riverside,2017-10-10T14:57:00Z,2018-01-09T13:32:00Z,"De Portola Road east of Pauba Road, Temecula",33.50488,-117.02132,Portola Fire,23.0,False,0.0,87.3,58.9,2017.0,10.0
816,Alameda,2017-09-26T12:22:00Z,2018-01-09T13:25:00Z,"Edwards Ave and Mountain Blvd, 6 miles southeast of Oakland ",37.77982,-122.169,Edwards Fire,22.0,False,0.06,83.0,58.9,2017.0,9.0
817,Calaveras,2017-07-05T16:56:00Z,2018-01-09T11:44:00Z,"off Gold Strike Road and Cemetery Lane, San Andreas",38.20176,-120.67848,Gold Fire,22.0,False,0.0,94.4,63.2,2017.0,7.0
818,Napa,2017-06-13T10:18:00Z,2018-01-09T10:31:00Z,"Knoxville Rd and Eastside Rd, north end of Lake Berryessa ",38.68347,-122.2654,Refuge Fire,22.0,True,0.38,85.9,55.9,2017.0,6.0
819,San Luis Obispo,2017-10-20T12:13:00Z,2018-01-09T13:42:00Z,"Off Soda Lake Rd, Carrizo Plains area ",35.41112,-120.00353,Soda Fire,21.0,False,0.07,80.6,47.8,2017.0,10.0
820,Lake,2017-09-05T14:55:00Z,2018-01-09T13:19:00Z,"Off Hwy 20 and Mule Skinner Road, east of Clearlake ",39.01748,-122.49327,Mule Fire,21.0,False,0.04,83.0,55.5,2017.0,9.0
821,Tulare,2017-07-05T08:24:00Z,2018-01-09T11:44:00Z,"Globe Dr, Springville",36.10858,-118.81979,Globe Fire,21.0,False,0.02,89.0,62.2,2017.0,7.0
822,Butte,2017-06-22T09:49:00Z,2018-01-09T11:00:00Z,"off of Hwy 99 & Schlaf Dr, east of Lake Oroville ",39.364,-121.4143,Highway Fire,21.0,False,0.92,88.2,60.1,2017.0,6.0
823,San Benito,2017-05-22T04:50:00Z,2018-01-09T10:07:00Z,"Bitterwater Rd X Hwy 25, east of King City",36.35578,-120.99552,Bitterwater Fire,21.0,False,0.11,76.3,48.8,2017.0,5.0
824,Humboldt,2017-10-08T16:40:00Z,2018-01-09T13:30:00Z,"off of Blue Lake Blvd and Hwy 299,  east of Eureka ",40.88516,-123.96844,Blue Fire,20.0,True,1.87,68.4,44.3,2017.0,10.0
825,Sonoma,2017-10-07T20:00:00Z,2018-01-09T13:30:00Z,"Fort Ross Rd and Hwy 1, north of Jenner",38.51937,-123.24713,Fort Fire,20.0,False,0.44,77.3,48.5,2017.0,10.0
826,Tehama,2017-10-03T16:22:00Z,2018-01-09T13:29:00Z,"off Hwy 36W and Monroe St., West Red Bluff",40.20077,-122.24731,36 Fire,20.0,False,0.78,76.7,47.6,2017.0,10.0
827,Tuolumne,2017-08-01T16:33:00Z,2018-01-09T12:16:00Z,"Off Merced Falls Rd, northwest of Lake McClure ",37.65986,-120.31157,Falls Fire,20.0,False,0.56,83.0,56.3,2017.0,8.0
828,San Bernardino,2017-07-22T15:49:00Z,2018-01-09T12:03:00Z,"off Piedmont Drive and Seine Avenue, Highland",34.139,-117.199,Seine Fire,20.0,False,0.35,102.9,77.2,2017.0,7.0
829,Mendocino,2017-07-17T12:37:00Z,2018-01-09T11:58:00Z,"on Cow Mountain, west of Ukiah ",39.13207,-123.10227,Range Fire,20.0,True,0.01,86.3,54.7,2017.0,7.0
830,Riverside,2017-06-13T17:21:00Z,2018-01-09T10:32:00Z,"off Reed Valley Road, north of Wilson Valley Road, Community of Aguanga",33.52584,-116.85226,Reed Fire,20.0,False,0.0,99.6,68.6,2017.0,6.0
831,Contra Costa,2017-06-05T13:17:00Z,2018-01-09T10:26:00Z,"Hwy 24, Orinda  ",37.86549,-122.2102,Fish Fire,20.0,False,0.08,84.4,57.1,2017.0,6.0
832,Kings,2017-05-18T12:54:00Z,2018-01-09T10:04:00Z,"off of Hwy 41 & I-5, south of Kettleman City",35.983,-119.91508,City Fire,20.0,False,0.34,85.0,55.3,2017.0,5.0
833,Monterey,2017-05-14T12:00:00Z,2018-01-09T09:56:00Z,"Off Nacimiento Lake Drive and Bee Rock Rd., near Bradley",35.77082,-120.92482,Nacimiento Fire,20.0,False,0.11,75.8,47.7,2017.0,5.0
834,Riverside,2017-12-13T15:27:00Z,2018-01-09T13:49:00Z,"off Shirleon Road and Old Banning and Idyllwild Road, Banning area",33.88994,-116.91023,Longhorn Fire,19.0,False,0.0,69.8,44.6,2017.0,12.0
835,Nevada,2017-10-10T12:30:00Z,2018-01-09T13:33:00Z,"off Wolf Road and Garden Bar Rd, northwest of Higgins Corner",39.06414,-121.13737,Garden Fire,19.0,False,0.95,70.6,40.9,2017.0,10.0
836,Riverside,2017-08-13T13:34:00Z,2018-01-09T12:38:00Z,Nuevo Road and Montgomery Road,33.797216,-117.124538,Nuevo Fire,19.0,False,0.57,100.7,74.3,2017.0,8.0
837,Humboldt,2017-08-01T10:23:00Z,2018-01-09T12:16:00Z,"Swayback Ridge, 5 southwest of Mad River",40.39799,-123.57562,Sway Fire,19.0,False,0.36,84.9,56.6,2017.0,8.0
838,Stanislaus,2017-07-18T22:39:00Z,2018-01-09T12:01:00Z,10 miles east of Oakdale,37.81827,-120.65764,Willms Fire,19.0,False,0.0,97.1,63.5,2017.0,7.0
839,Siskiyou,2017-06-26T12:30:00Z,2018-01-09T11:08:00Z,off Campus Dr. and Moonlit Oaks Ave. in Yreka ,40.703775,-122.645079,King Fire,19.0,True,0.89,76.0,48.0,2017.0,6.0
840,Kern,2017-05-01T12:44:00Z,2018-01-09T09:54:00Z,"Fay Ranch Rd, northeast of Lake Isabella",35.71704,-118.30601,Fay Fire,19.0,False,0.18,80.9,53.1,2017.0,5.0
841,Sonoma,2017-08-27T13:30:00Z,2018-01-09T12:45:00Z,"Bodega Ave and Nosecchi Rd., east of Petaluma",38.26294,-122.71998,Bodega Fire,18.0,False,0.01,82.3,55.6,2017.0,8.0
842,Butte,2017-07-04T15:45:00Z,2018-01-09T11:43:00Z,"Off Lakeland Blvd & Feather River, east of Oroville ",39.53944,-121.54722,Lakeland Fire,18.0,False,0.0,96.2,63.7,2017.0,7.0
843,Fresno,2017-05-28T16:16:00Z,2018-01-09T10:21:00Z,off Panoche Rd. 4 miles W of I-5 (Fresno County). ,36.61332,-120.7109,Panoche Fire,18.0,False,0.51,73.7,46.7,2017.0,5.0
844,Monterey,2017-05-16T16:10:00Z,2018-01-09T09:58:00Z,"off of Hwy 198 and Pine Valley Road, southwest of King City",36.1727,-120.86682,Pine Fire,18.0,False,0.11,75.8,47.7,2017.0,5.0
845,Mariposa,2017-10-03T11:44:00Z,2018-01-09T13:29:00Z,"Ramblin Road and Mount Lilac Road, 4 miles south of Bootjack",37.41231,-119.87465,Ramblin Fire,17.0,False,0.4,74.0,43.7,2017.0,10.0
846,Shasta,2017-08-17T14:15:00Z,2018-01-09T12:42:00Z,HWY 299 just south of HWY 89 near Cassel,40.92602,-121.5935,Corner Fire,17.0,True,0.11,94.7,61.0,2017.0,8.0
847,Shasta,2017-07-29T17:29:00Z,2018-01-09T12:12:00Z,"Blue Sky Road, east of Bella Vista ",40.69259,-122.17384,Sky Fire,17.0,False,0.0,94.5,59.6,2017.0,7.0
848,San Luis Obispo,2017-05-20T13:11:00Z,2018-01-09T10:06:00Z,"off of Rocky Creek Road and Old Abode Canyon Road, east of Atascadero",35.556667,-120.474,Rocky Fire,17.0,False,0.36,76.6,48.0,2017.0,5.0
849,Monterey,2017-05-17T15:18:00Z,2018-01-09T09:59:00Z,"Lonoak Road and Airline Road, east of King City",36.2771,-120.94328,Lonoak Fire,17.0,True,0.11,75.8,47.7,2017.0,5.0
850,Riverside,2017-05-14T12:51:00Z,2018-01-09T09:56:00Z,"Highway 79, south of Dump Road, Beaumont",33.88466,-116.99229,Canyon Fire,17.0,False,0.22,86.4,59.0,2017.0,5.0
851,Kern,2017-06-02T18:55:00Z,2018-01-09T10:23:00Z,4 miles south of Buttonwillow ,35.188,-119.2877,Elk Fire,16.0,False,0.01,92.4,63.0,2017.0,6.0
852,San Bernardino,2017-05-29T01:20:00Z,2018-01-09T10:22:00Z,"Big Morongo Canyon Preserve, Morongo Valley",34.04412,-116.55326,Matz Fire,16.0,False,0.19,86.0,58.3,2017.0,5.0
853,Fresno,2017-05-28T07:49:00Z,2018-01-09T10:17:00Z,"off Millerton Rd. and Rusty Spur Ln., 10 miles N. of Clovis",36.96642,-119.58292,Rusty Fire,16.0,False,0.51,73.7,46.7,2017.0,5.0
854,Tehama,2017-08-10T17:24:00Z,2018-01-09T12:31:00Z,Round Valley Rd and Paskenta Rd in Paskenta ,39.87983,-122.5415,Paskenta Fire ,15.0,False,0.05,95.1,65.0,2017.0,8.0
855,Nevada,2017-07-27T14:49:00Z,2018-01-09T12:06:00Z,"Greenhorn Access Rd, Rollins Lake (Nevada Co)",39.16826,-120.95498,Greenhorn Fire,15.0,False,0.01,88.6,56.7,2017.0,7.0
856,Modoc,2017-07-17T13:38:00Z,2018-01-09T11:58:00Z,"County Road 60 and 54, Alturas",41.45589,-120.56933,Centerville Fire,15.0,False,0.42,88.5,52.5,2017.0,7.0
857,Monterey,2017-06-28T09:30:00Z,2018-01-09T11:10:00Z,Alvarado Rd and Wunpost in the community of Bradley,35.947,-120.87492,Alvarado Fire,15.0,False,0.05,83.9,52.0,2017.0,6.0
858,Calaveras,2017-05-28T15:30:00Z,2018-01-09T10:21:00Z,"off Hwy 26 and Hwy 12, 4 miles SW of Mokelumne Hill",38.19906,-120.83484,Lombardi Fire,15.0,False,0.54,77.2,49.4,2017.0,5.0
859,Riverside,2017-04-13T02:30:00Z,2018-01-09T09:50:00Z,Avenue 66 and Hwy 111 near community of Mecca,33.56777,-116.08003,66 Fire,15.0,False,0.01,81.9,54.4,2017.0,4.0
860,Santa Barbara,2017-12-16T12:21:00Z,2018-01-09T13:49:00Z,"off Drum Canyon Rd, south of Los Alamos",34.71796,-120.27077,Drum Fire,14.0,False,0.02,68.0,39.2,2017.0,12.0
861,Santa Barbara,2017-12-14T12:59:00Z,2018-01-09T13:49:00Z,"off the 3500 Block of Highway 1, south east of Lompoc",34.605358,-120.414875,Coast Fire,14.0,False,0.02,68.0,39.2,2017.0,12.0
862,Butte,2017-07-02T13:43:00Z,2018-01-09T11:17:00Z,"off Desabla Powerhouse Rd and Humbug Rd, Desabla",39.8629,-121.6268,Desabla Fire,14.0,False,0.0,96.2,63.7,2017.0,7.0
863,Monterey,2017-06-09T16:15:00Z,2018-01-09T10:29:00Z,"Hog Canyon Rd & Ranchita Canyon Rd, southeast of Parkfield",35.80375,-120.52508,Hog Fire,14.0,False,0.05,83.9,52.0,2017.0,6.0
864,Riverside,2017-05-18T17:25:00Z,2018-01-09T10:05:00Z,"Avenue Juan Diaz and Riverside Drive, Jurupa Valley",33.97155,-117.44148,Moraga Fire,14.0,False,0.22,86.4,59.0,2017.0,5.0
865,Stanislaus,2017-10-18T12:53:00Z,2018-01-09T13:41:00Z,off Milton Road and Sonora Road north of Woodward Reservoir Park,37.89532,-120.84748,Milton Fire,13.0,False,0.12,79.7,49.0,2017.0,10.0
866,El Dorado,2017-07-25T14:13:00Z,2018-01-09T12:06:00Z,"Woodland Court, Community of Oak Hill",38.69775,-120.73757,Woodland Fire,13.0,False,0.01,89.3,59.7,2017.0,7.0
867,El Dorado,2017-07-12T13:51:00Z,2018-01-09T11:53:00Z,"off Rosado Rd, El Dorado Hills ",38.67474,-121.06088,Rosado Fire,13.0,False,0.01,89.3,59.7,2017.0,7.0
868,San Bernardino,2017-07-04T13:15:00Z,2018-01-09T11:42:00Z,"Off Hwy 138 & Sawpit Canyon Rd, southwest of Silverwood Lake",34.304722,-117.3125,Silver Fire,13.0,False,0.35,102.9,77.2,2017.0,7.0
869,Butte,2017-09-12T17:24:00Z,2018-01-09T13:21:00Z,"off Pacific Heights Road, west of Palermo",39.44257,-121.60683,Pacific Fire,12.0,False,0.41,86.2,57.6,2017.0,9.0
870,San Luis Obispo,2017-05-07T16:41:00Z,2018-01-09T09:55:00Z,"Off Lucy Brown Rd, in Shandon",35.6879,-120.3317,Shandon Fire,12.0,False,0.36,76.6,48.0,2017.0,5.0
871,Riverside,2017-04-30T19:43:00Z,2018-01-09T09:54:00Z,"Jameson Rd and Clay Canyon Dr., south of Corona",33.7866,-117.5048,Jameson Fire,12.0,False,0.01,81.9,54.4,2017.0,4.0
872,Merced,1969-12-31T16:00:00Z,2018-01-09T10:05:00Z,"Interstate 5 near Taglio Road, Gustine",37.21812,-121.07761,Taglio Fire,12.0,False,1.13,57.6,38.6,1969.0,12.0
873,Sonoma,2017-07-31T23:17:00Z,2018-01-09T12:15:00Z,"Independence Lane, 2 miles south of Geyserville",38.70289,-122.90217,Independence Fire,11.0,False,0.0,83.5,53.4,2017.0,7.0
874,Riverside,2017-07-02T13:04:00Z,2018-01-09T11:16:00Z,"off Gilman Springs Rd and Alessandro Blvd., east of Moreno Valley",33.913089,-117.096233,Lisa Fire,11.0,False,0.1,102.3,76.2,2017.0,7.0
875,Tehama,2017-10-08T12:15:00Z,2018-01-09T13:31:00Z,"off of Jelly Ferry Rd and I-5, north of Red Bluff",40.24789,-122.255,Freeway Fire,10.0,False,0.78,76.7,47.6,2017.0,10.0
876,Mariposa,2017-09-20T14:53:00Z,2018-01-09T13:23:00Z,"Dexter Rd and Pine Lake Dr, 5 miles east of Coulterville",37.76888,-120.15846,Dexter Fire,10.0,False,0.91,79.9,51.7,2017.0,9.0
877,Fresno,2017-09-11T10:00:00Z,2018-01-09T13:19:00Z,"Indian Rock Rd and Musick Creek Lane, Community of Shaver Lake",37.10067,-119.32109,Shaver Fire,10.0,False,0.45,80.6,53.7,2017.0,9.0
878,Amador,2017-08-28T17:06:00Z,2018-01-09T12:46:00Z,"Butte Mountain road, 3 miles east of Jackson",38.34421,-120.72274,Sandra Fire,10.0,False,0.14,92.8,63.1,2017.0,8.0
879,Los Angeles,2017-08-03T16:21:00Z,2018-01-09T12:18:00Z,"off Hwy 39 & East Fork Ave, north of Azusa",34.23925,-117.85182,Rincon Fire,10.0,False,0.09,90.1,65.5,2017.0,8.0
880,Nevada,2017-07-21T16:50:00Z,2018-01-09T12:03:00Z,"off of Grizzly Hill Rd & Turnagain Arm Rd, 8 miles northeast of Nevada City",39.36902,-120.97586,Grizzly Fire,10.0,False,0.01,88.6,56.7,2017.0,7.0
